,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-12-01,68.5,22.5,12,2,164.0,14.0,33.0,16.0
2019-01-12-02,70.61,20.0,17,5,157.0,14.0,34.0,14.0
2019-01-12-03,68.94,25.5,12,6,160.0,17.0,39.0,14.0
2019-01-12-04,70.72,26.0,14,4,171.0,17.0,40.0,17.0
2019-01-12-05,68.17,30.5,11,5,170.0,18.0,40.0,23.0
2019-01-12-06,68.94,28.5,11,9,158.0,22.0,39.0,16.0
2019-01-12-07,67.17,28.0,5,7,127.0,26.0,40.0,17.0
2019-01-12-08,68.28,21.0,11,2,112.0,28.0,37.0,22.0
2019-01-12-09,69.67,22.0,7,1,105.0,33.0,36.0,33.0
2019-01-12-10,78.56,26.0,9,3,101.0,38.0,35.0,43.0
2019-01-12-11,84.11,25.5,15,1,107.0,44.0,32.0,42.0
2019-01-12-12,84.94,30.0,16,0,112.0,46.0,31.0,44.0
2019-01-12-13,79.78,31.0,6,2,116.0,43.0,22.0,58.0
2019-01-12-14,72.72,33.0,23,3,123.0,49.0,10.0,64.0
2019-01-12-15,63.67,37.0,11,4,138.0,58.0,7.0,57.0
2019-01-12-16,66.72,47.0,6,6,164.0,57.0,7.0,53.0
2019-01-12-17,67.28,65.5,9,6,205.0,55.0,8.0,37.0
2019-01-12-18,64.67,62.0,7,5,269.0,58.0,9.0,25.0
2019-01-12-19,60.0,57.5,5,8,335.0,67.0,10.0,20.0
2019-01-12-20,65.39,45.5,9,5,423.0,66.0,13.0,20.0
2019-01-12-21,65.17,37.0,10,6,455.0,62.0,15.0,17.0
2019-01-12-22,68.11,36.0,14,5,456.0,61.0,17.0,16.0
2019-01-12-23,67.78,38.5,10,6,447.0,57.0,16.0,18.0
2019-01-13-00,70.72,38.0,4,5,430.0,57.0,16.0,16.0
2019-01-13-01,70.94,29.5,4,6,408.0,58.0,13.0,18.0
2019-01-13-02,75.83,29.0,17,5,383.0,58.0,13.0,21.0
2019-01-13-03,76.44,29.0,13,7,352.0,61.0,14.0,23.0
2019-01-13-04,75.78,31.5,14,7,317.0,63.0,15.0,19.0
2019-01-13-05,72.39,30.5,21,4,245.0,65.0,16.0,16.0
2019-01-13-06,74.22,24.5,19,4,188.0,64.0,20.0,14.0
2019-01-13-07,72.83,27.5,16,2,142.0,62.0,23.0,14.0
2019-01-13-08,76.61,33.0,12,4,88.0,63.0,25.0,13.0
2019-01-13-09,80.39,37.5,10,5,52.0,62.0,26.0,17.0
2019-01-13-10,87.39,42.5,12,6,28.0,65.0,29.0,21.0
2019-01-13-11,88.78,43.0,7,9,22.0,78.0,31.0,24.0
2019-01-13-12,86.0,44.0,14,7,18.0,85.0,31.0,27.0
2019-01-13-13,78.5,43.5,17,7,13.0,90.0,32.0,26.0
2019-01-13-14,71.5,44.0,32,6,12.0,90.0,37.0,29.0
2019-01-13-15,67.72,40.5,28,6,9.0,83.0,40.0,30.0
2019-01-13-16,75.89,36.5,17,7,17.0,80.0,36.0,29.0
2019-01-13-17,84.28,44.0,10,6,27.0,81.0,32.0,28.0
2019-01-13-18,99.83,46.0,-3,5,51.0,84.0,29.0,29.0
2019-01-13-19,106.11,44.5,-1,10,77.0,88.0,29.0,29.0
2019-01-13-20,111.06,44.5,4,6,98.0,95.0,28.0,31.0
2019-01-13-21,108.78,47.5,9,8,109.0,102.0,27.0,28.0
2019-01-13-22,106.44,53.5,9,8,118.0,105.0,23.0,24.0
2019-01-13-23,104.78,52.0,6,10,147.0,103.0,22.0,23.0
2019-01-14-00,107.17,52.0,1,6,163.0,102.0,18.0,25.0
2019-01-14-01,106.39,46.0,15,6,174.0,99.0,19.0,30.0
2019-01-14-02,106.89,47.5,4,6,162.0,94.0,21.0,30.0
2019-01-14-03,104.94,43.0,2,2,140.0,91.0,20.0,28.0
