經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.71442,21.914589,7.891655e-05,0.54,0.54
119.74448,21.91465,8.434057e-05,0.56,0.56
119.774536,21.914703,9.62615e-05,0.58,0.58
119.804596,21.914742,0.000105798244,0.6,0.6
119.834656,21.914795,0.00011539459,0.62,0.62
119.864716,21.914818,0.00012516975,0.65,0.65
119.894775,21.914848,0.00013166666,0.68,0.68
119.924835,21.914871,0.00013273954,0.7,0.7
119.954895,21.914886,0.00013816357,0.72,0.72
119.984955,21.914886,0.00013560057,0.74,0.74
120.015015,21.914886,0.0001410842,0.76,0.76
120.045105,21.914886,0.00014650822,0.78,0.78
120.075134,21.914871,0.00013315678,0.8,0.8
120.105225,21.914848,0.00013792515,0.82,0.82
120.135254,21.914818,0.0001322031,0.83,0.83
120.165344,21.914795,0.000119268894,0.84,0.84
120.19537,21.914742,0.000120699406,0.86,0.86
120.225464,21.914703,0.0001167655,0.87,0.87
120.25552,21.91465,0.00011140108,0.87,0.87
120.28558,21.914589,0.00010049343,0.83,0.83
120.31564,21.91455,8.678436e-05,0.78,0.79
120.3457,21.914482,8.440018e-05,0.72,0.72
120.37576,21.91439,6.6161156e-05,0.62,0.62
120.40582,21.914314,5.8948994e-05,0.52,0.52
120.43588,21.914215,5.13494e-05,0.44,0.44
120.46594,21.914139,4.6133995e-05,0.38,0.38
120.496,21.914032,3.668666e-05,0.33,0.33
120.52606,21.913925,3.2365322e-05,0.28,0.28
120.55612,21.913826,2.4616718e-05,0.24,0.24
120.58618,21.913704,1.8686056e-05,0.2,0.2
120.61624,21.913567,1.3828278e-05,0.18,0.18
120.6463,21.913437,8.910894e-06,0.16,0.16
120.67636,21.913307,5.930662e-06,0.15,0.15
120.70642,21.91314,3.799796e-06,0.14,0.14
120.73648,21.913002,2.6077032e-06,0.13,0.13
120.76654,21.91285,2.4735928e-06,0.13,0.13
120.7966,21.91269,2.5331974e-06,0.13,0.13
120.82666,21.912506,2.3171306e-06,0.12,0.12
120.85672,21.912346,2.2128224e-06,0.12,0.12
120.88678,21.912163,2.3171306e-06,0.12,0.12
120.91684,21.911964,2.1383166e-06,0.12,0.12
120.9469,21.911774,1.8253922e-06,0.12,0.12
120.97696,21.911568,1.2591481e-06,0.11,0.11
121.00702,21.91137,8.7171793e-07,0.11,0.11
121.03708,21.911156,7.227063e-07,0.11,0.11
121.06714,21.91095,6.7800283e-07,0.11,0.11
121.0972,21.91072,5.289912e-07,0.11,0.11
121.12726,21.910492,4.6938658e-07,0.11,0.11
121.15732,21.910255,3.5762787e-07,0.11,0.11
121.18738,21.910004,2.9057264e-07,0.11,0.11
121.21744,21.909744,2.7567148e-07,0.1,0.1
121.2475,21.909492,2.7567148e-07,0.1,0.1
121.27756,21.909218,2.9057264e-07,0.1,0.1
121.30762,21.90895,3.2782555e-07,0.1,0.1
121.33765,21.908684,3.427267e-07,0.1,0.1
121.36774,21.908417,2.8312206e-07,0.1,0.1
121.397766,21.908104,2.3841858e-07,0.1,0.1
121.427826,21.90783,1.937151e-07,0.09,0.09
121.457886,21.907532,1.6391277e-07,0.09,0.09
121.487946,21.907219,1.6391277e-07,0.09,0.09
121.518005,21.906898,8.195639e-08,0.09,0.09
121.548065,21.906586,7.4505806e-08,0.09,0.09
121.578125,21.906265,3.7252903e-08,0.09,0.09
121.608185,21.905937,0.0,0.09,0.09
121.638245,21.905594,2.2351742e-08,0.09,0.09
121.668274,21.905258,5.2154064e-08,0.09,0.09
121.698364,21.904907,1.1175871e-07,0.09,0.09
121.72839,21.904549,3.7252903e-08,0.09,0.09
121.75845,21.904182,-5.2154064e-08,0.09,0.09
121.78851,21.903816,-5.2154064e-08,0.09,0.09
121.81857,21.90342,7.4505806e-08,0.09,0.09
121.84863,21.903046,5.2154064e-08,0.09,0.09
121.87869,21.902664,7.450581e-09,0.1,0.1
121.90875,21.902275,1.4901161e-08,0.1,0.1
121.93878,21.90187,2.9802322e-08,0.1,0.1
121.96884,21.901482,2.2351742e-08,0.1,0.1
121.9989,21.901054,0.0,0.11,0.11
122.02896,21.900627,1.4901161e-08,0.13,0.13
119.293396,21.941048,2.3543835e-05,0.26,0.26
119.32349,21.941193,2.5808811e-05,0.27,0.27
119.353546,21.94133,2.8729439e-05,0.28,0.28
119.383606,21.94146,3.1918287e-05,0.29,0.29
119.4137,21.941582,3.579259e-05,0.3,0.3
119.443756,21.941704,3.9219856e-05,0.32,0.32
119.473816,21.941803,4.196167e-05,0.34,0.34
119.503876,21.941925,4.6044588e-05,0.36,0.36
119.533936,21.942017,5.0276518e-05,0.39,0.39
119.564026,21.942123,5.5462122e-05,0.41,0.41
119.594086,21.942192,5.888939e-05,0.44,0.44
119.624146,21.942276,6.183982e-05,0.47,0.47
119.654236,21.94236,6.532669e-05,0.49,0.49
119.684296,21.942436,7.2062016e-05,0.52,0.52
119.714355,21.94249,7.790327e-05,0.55,0.55
119.744415,21.942558,8.547306e-05,0.57,0.57
119.774475,21.942589,9.393692e-05,0.6,0.6
119.804565,21.942635,0.00010341406,0.61,0.61
119.834625,21.942673,0.00011485815,0.63,0.63
119.864685,21.942719,0.00012403727,0.66,0.66
119.894775,21.942734,0.0001360774,0.69,0.69
119.924835,21.942757,0.00013971329,0.72,0.72
119.954895,21.94278,0.00014138222,0.75,0.75
119.984955,21.94278,0.00014209747,0.77,0.77
120.015015,21.94278,0.00015002489,0.8,0.8
120.045105,21.94278,0.00015693903,0.82,0.82
120.075165,21.942757,0.00014674664,0.84,0.84
120.105225,21.942734,0.00013834238,0.86,0.86
120.135315,21.942719,0.00013810396,0.87,0.87
120.165375,21.942673,0.00012928247,0.89,0.89
120.195435,21.942635,0.00013238192,0.91,0.91
120.225494,21.942589,0.00012928247,0.93,0.93
120.255554,21.942558,0.000121831894,0.94,0.94
120.285645,21.94249,0.0001155138,0.93,0.93
120.315704,21.942436,9.691715e-05,0.88,0.88
120.345764,21.94236,8.845329e-05,0.82,0.82
120.375854,21.942276,8.0645084e-05,0.72,0.72
120.405914,21.942192,7.176399e-05,0.6,0.6
120.435974,21.942123,5.340576e-05,0.5,0.5
120.466034,21.942017,5.1259995e-05,0.43,0.43
120.49609,21.941925,4.1484833e-05,0.37,0.37
120.526184,21.941803,3.8802624e-05,0.32,0.32
120.556244,21.941704,2.9802322e-05,0.27,0.27
120.5863,21.941582,2.272427e-05,0.23,0.23
120.616394,21.94146,1.6897917e-05,0.2,0.2
120.646454,21.94133,1.193583e-05,0.17,0.17
120.67651,21.941193,8.0913305e-06,0.16,0.16
120.70657,21.941048,4.813075e-06,0.15,0.15
120.73663,21.940887,3.0994415e-06,0.14,0.14
120.76672,21.940735,2.682209e-06,0.13,0.13
120.79678,21.940582,2.5629997e-06,0.13,0.13
120.82684,21.940392,2.1010637e-06,0.12,0.12
120.8569,21.940247,1.9446015e-06,0.11,0.11
120.88696,21.940048,2.130866e-06,0.12,0.12
120.91705,21.939857,2.041459e-06,0.12,0.12
120.94711,21.93966,1.66893e-06,0.12,0.12
120.97717,21.939468,1.1697412e-06,0.12,0.12
121.00726,21.939262,7.301569e-07,0.11,0.11
121.03729,21.939064,5.1409006e-07,0.11,0.11
121.06738,21.938828,5.289912e-07,0.11,0.11
121.09744,21.938606,4.0233135e-07,0.11,0.11
121.1275,21.93837,3.5762787e-07,0.11,0.11
