經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.473816,21.941803,0.0012214183807373047,1.1,1.1
119.503876,21.941925,0.0013123750686645508,1.12,1.12
119.533936,21.942017,0.0012917518615722656,1.03,1.03
119.564026,21.942123,0.001193404197692871,1.4,1.41
119.594086,21.942192,0.001276850700378418,1.3,1.3
119.624146,21.942276,0.0008347034454345703,1.68,1.68
119.654236,21.94236,0.00095367431640625,1.19,1.19
119.684296,21.942436,0.0010777711868286133,1.14,1.14
119.714355,21.94249,0.0010207891464233398,1.14,1.14
119.744415,21.942558,0.0007526874542236328,1.11,1.11
119.774475,21.942589,0.0007996857166290283,0.25,0.25
119.804565,21.942635,0.0010529160499572754,0.96,0.96
119.834625,21.942673,0.0011938214302062988,0.22,0.22
119.864685,21.942719,0.0013430863618850708,0.22,0.22
119.894775,21.942734,0.0022113919258117676,0.77,0.77
119.924835,21.942757,0.0013867616653442383,0.61,0.62
