經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.533936,21.942017,8.755922e-05,0.43,0.43
119.564026,21.942123,9.9509954e-05,0.46,0.46
119.594086,21.942192,0.000112593174,0.5,0.5
119.624146,21.942276,0.00012922287,0.54,0.54
119.654236,21.94236,0.00014853477,0.58,0.58
119.684296,21.942436,0.00016707182,0.62,0.62
119.714355,21.94249,0.00019133091,0.66,0.66
119.744415,21.942558,0.00022166967,0.7,0.7
119.774475,21.942589,0.0002580881,0.74,0.74
119.804565,21.942635,0.0003015995,0.78,0.78
119.834625,21.942673,0.00034487247,0.82,0.82
119.864685,21.942719,0.00040328503,0.87,0.87
119.894775,21.942734,0.0004696846,0.94,0.94
119.924835,21.942757,0.00053584576,1.0,1.0
119.954895,21.94278,0.0006080866,1.06,1.06
119.984955,21.94278,0.0006867647,1.13,1.13
120.015015,21.94278,0.0007574558,1.19,1.19
120.045105,21.94278,0.00080895424,1.26,1.26
120.075165,21.942757,0.0008814335,1.34,1.34
120.105225,21.942734,0.00094795227,1.44,1.44
120.135315,21.942719,0.0009977818,1.53,1.53
120.165375,21.942673,0.0010398626,1.64,1.64
120.195435,21.942635,0.0010807514,1.74,1.74
120.225494,21.942589,0.001074791,1.82,1.82
120.255554,21.942558,0.0010160208,1.86,1.86
120.285645,21.94249,0.0009455681,1.83,1.83
120.315704,21.942436,0.00085532665,1.74,1.74
120.345764,21.94236,0.00080513954,1.63,1.63
120.375854,21.942276,0.0007120371,1.41,1.41
120.405914,21.942192,0.0005992651,1.17,1.18
120.435974,21.942123,0.00046646595,0.96,0.96
120.466034,21.942017,0.00033408403,0.8,0.81
120.49609,21.941925,0.00023305416,0.69,0.69
120.526184,21.941803,0.00017029047,0.58,0.58
120.556244,21.941704,0.00011730194,0.49,0.49
120.5863,21.941582,7.18236e-05,0.42,0.42
120.616394,21.94146,3.927946e-05,0.38,0.38
120.646454,21.94133,1.758337e-05,0.37,0.37
120.67651,21.941193,8.195639e-06,0.38,0.38
120.70657,21.941048,3.4868717e-06,0.46,0.46
120.73663,21.940887,3.5762787e-07,0.54,0.54
120.76672,21.940735,1.7881393e-07,0.3,0.3
120.79678,21.940582,8.940697e-08,0.31,0.31
120.82684,21.940392,2.0861626e-07,0.27,0.27
120.8569,21.940247,2.8312206e-07,0.22,0.22
120.88696,21.940048,3.2782555e-07,0.21,0.21
120.91705,21.939857,4.3213367e-07,0.21,0.21
120.94711,21.93966,4.7683716e-07,0.21,0.21
120.97717,21.939468,4.3213367e-07,0.21,0.21
121.00726,21.939262,5.364418e-07,0.21,0.21
121.03729,21.939064,3.2782555e-07,0.21,0.21
121.06738,21.938828,2.3841858e-07,0.21,0.21
121.09744,21.938606,2.8312206e-07,0.21,0.21
121.1275,21.93837,3.427267e-07,0.21,0.21
121.15756,21.93814,1.6391277e-07,0.21,0.21
121.18762,21.937904,2.682209e-07,0.21,0.21
121.21771,21.93763,2.8312206e-07,0.21,0.21
121.24777,21.93737,2.8312206e-07,0.22,0.22
121.27783,21.937126,1.7881393e-07,0.22,0.22
121.30789,21.936836,1.937151e-07,0.22,0.22
121.33795,21.93657,2.8312206e-07,0.22,0.22
121.36804,21.936295,2.2351742e-07,0.22,0.22
121.3981,21.936005,1.6391277e-07,0.23,0.23
121.42816,21.935715,8.940697e-08,0.24,0.24
