,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-14-00,2.67,50.5,28,39,4.07,9.67,15.27,19.85
2019-01-14-01,3.06,54.5,22,37,3.56,10.69,16.8,21.38
2019-01-14-02,2.56,47.0,23,38,3.56,9.67,16.29,21.38
2019-01-14-03,2.11,45.5,24,37,3.05,7.64,15.78,21.89
2019-01-14-04,2.11,45.5,24,36,2.54,8.14,14.25,21.38
2019-01-14-05,2.11,41.0,24,34,2.04,10.69,10.69,20.36
2019-01-14-06,2.0,32.0,21,38,2.54,8.65,12.72,18.83
2019-01-14-07,2.0,22.0,16,37,2.54,7.13,17.82,19.34
2019-01-14-08,2.44,15.0,15,29,2.04,6.62,18.83,16.8
2019-01-14-09,2.67,27.0,14,30,2.54,13.74,19.34,19.34
2019-01-14-10,3.56,48.0,12,37,3.56,24.43,20.87,22.9
2019-01-14-11,5.88,54.0,14,40,5.6,29.52,20.36,26.98
2019-01-14-12,7.75,58.5,18,41,8.14,35.12,24.43,33.59
2019-01-14-13,11.71,58.5,25,41,8.65,39.7,31.56,38.68
2019-01-14-14,10.56,61.5,30,40,9.67,42.25,35.63,41.74
2019-01-14-15,7.39,65.0,34,41,10.18,42.25,33.08,39.7
2019-01-14-16,5.06,70.5,29,39,9.67,41.74,27.49,39.7
2019-01-14-17,2.67,65.0,22,40,6.11,39.19,23.92,37.67
2019-01-14-18,2.28,38.5,15,38,11.2,37.67,20.87,36.65
2019-01-14-19,3.67,38.0,12,36,21.38,34.61,21.89,34.1
2019-01-14-20,4.61,45.0,13,36,27.49,32.07,19.34,31.05
2019-01-14-21,7.33,47.5,7,34,31.56,32.07,20.87,28.0
2019-01-14-22,8.29,46.0,7,42,30.03,30.03,19.85,22.9
2019-01-14-23,5.61,49.5,3,42,29.52,25.96,19.34,19.34
2019-01-15-00,6.61,49.5,2,40,29.52,25.45,15.78,24.43
2019-01-15-01,12.72,53.0,2,40,29.01,26.98,12.22,22.9
2019-01-15-02,19.06,55.5,2,35,29.01,32.07,7.64,22.4
2019-01-15-03,21.06,56.0,2,38,29.01,33.59,10.18,20.87
2019-01-15-04,24.5,56.0,2,40,28.5,32.07,8.14,19.34
2019-01-15-05,21.56,53.5,2,41,28.5,31.56,9.16,21.89
2019-01-15-06,15.56,48.0,4,43,28.0,26.98,7.13,21.89
2019-01-15-07,8.61,36.5,2,42,26.47,20.36,7.13,18.32
2019-01-15-08,5.44,22.0,2,42,24.43,17.82,7.13,14.76
2019-01-15-09,12.56,33.5,4,40,24.94,22.9,5.09,12.22
2019-01-15-10,16.72,41.5,-999,40,26.47,30.03,6.62,11.2
2019-01-15-11,20.12,44.5,7,41,28.0,30.54,10.18,14.76
2019-01-15-12,22.18,46.5,7,43,31.05,42.25,15.78,19.34
2019-01-15-13,26.18,44.5,12,44,32.07,44.28,16.8,22.9
2019-01-15-14,28.17,47.5,10,45,32.07,49.88,21.38,24.94
2019-01-15-15,27.0,47.5,13,43,32.07,50.9,21.89,23.41
2019-01-15-16,23.41,45.0,14,46,31.56,44.28,20.87,24.43
2019-01-15-17,19.94,47.5,10,44,28.5,43.77,19.85,22.9
2019-01-15-18,19.56,39.0,20,44,22.9,46.32,23.41,21.89
2019-01-15-19,18.61,38.0,17,43,17.82,50.9,26.47,25.96
2019-01-15-20,18.5,41.0,23,43,17.31,40.21,29.01,23.92
2019-01-15-21,16.61,41.0,23,42,13.74,32.58,31.56,21.89
2019-01-15-22,14.5,42.5,21,42,12.72,31.56,31.56,28.0
2019-01-15-23,13.72,44.0,26,43,13.23,32.58,29.01,30.03
2019-01-16-00,15.72,45.0,27,42,11.2,32.58,31.05,31.05
2019-01-16-01,18.5,43.0,-999,44,7.64,32.07,32.07,30.03
2019-01-16-02,20.11,42.0,25,44,4.58,32.07,33.08,33.08
2019-01-16-03,20.33,42.0,25,44,3.56,33.08,31.05,32.58
2019-01-16-04,19.22,42.0,25,44,2.04,32.58,31.56,34.61
2019-01-16-05,15.78,42.0,26,43,2.04,31.05,30.54,34.1
2019-01-16-06,11.5,39.0,24,43,2.04,28.0,28.5,33.59
2019-01-16-07,6.22,36.5,20,41,1.53,20.87,25.45,31.56
2019-01-16-08,6.06,32.0,19,39,1.53,15.27,21.38,28.0
2019-01-16-09,8.06,31.0,17,39,4.07,16.29,16.8,26.98
2019-01-16-10,9.67,32.0,14,41,8.14,18.83,17.82,25.45
2019-01-16-11,11.11,32.0,25,42,12.22,21.89,20.87,26.47
2019-01-16-12,19.33,33.5,27,41,16.29,24.94,22.4,28.5
